,sp500,us5,us10
1982-08-30,,,0.0
1982-08-31,,,0.0
1982-09-01,,,3.0
1982-09-02,,,3.0
1982-09-03,,,3.0
1982-09-06,,,3.0
1982-09-07,,,3.0
1982-09-08,,,4.0
1982-09-09,,,4.0
1982-09-10,,,4.0
1982-09-13,,,3.0
1982-09-14,0.0,,3.0
1982-09-15,0.0,,3.0
1982-09-16,0.0,,3.0
1982-09-17,0.0,,3.0
1982-09-20,0.0,,3.0
1982-09-21,0.0,,3.0
1982-09-22,0.0,,3.0
1982-09-23,0.0,,3.0
1982-09-24,0.0,,3.0
1982-09-27,0.0,,3.0
1982-09-28,0.0,,3.0
1982-09-29,0.0,,3.0
1982-09-30,0.0,,3.0
1982-10-01,0.0,,3.0
1982-10-04,0.0,,3.0
1982-10-05,0.0,,3.0
1982-10-06,0.0,,3.0
1982-10-07,0.0,,3.0
1982-10-08,0.0,,3.0
1982-10-11,0.0,,2.0
1982-10-12,0.0,,2.0
1982-10-13,0.0,,2.0
1982-10-14,0.0,,2.0
1982-10-15,0.0,,2.0
1982-10-18,0.0,,2.0
1982-10-19,0.0,,2.0
1982-10-20,0.0,,2.0
1982-10-21,0.0,,2.0
1982-10-22,0.0,,2.0
1982-10-25,0.0,,2.0
1982-10-26,0.0,,2.0
1982-10-27,0.0,,2.0
1982-10-28,0.0,,2.0
1982-10-29,0.0,,2.0
1982-11-01,0.0,,2.0
1982-11-02,0.0,,2.0
1982-11-03,0.0,,2.0
1982-11-04,0.0,,2.0
1982-11-05,0.0,,2.0
1982-11-08,0.0,,2.0
1982-11-09,0.0,,2.0
1982-11-10,0.0,,2.0
1982-11-11,0.0,,2.0
1982-11-12,0.0,,2.0
1982-11-15,0.0,,2.0
1982-11-16,0.0,,2.0
1982-11-17,0.0,,2.0
1982-11-18,0.0,,2.0
1982-11-19,0.0,,2.0
1982-11-22,0.0,,2.0
1982-11-23,0.0,,2.0
1982-11-24,0.0,,3.0
1982-11-25,0.0,,3.0
1982-11-26,0.0,,3.0
1982-11-29,0.0,,3.0
1982-11-30,0.0,,3.0
1982-12-01,-26.0,,3.0
1982-12-02,-33.0,,3.0
1982-12-03,-33.0,,3.0
1982-12-06,-34.0,,3.0
1982-12-07,-34.0,,3.0
1982-12-08,-34.0,,3.0
1982-12-09,-34.0,,3.0
1982-12-10,-34.0,,3.0
1982-12-13,-34.0,,3.0
1982-12-14,-34.0,,3.0
1982-12-15,-34.0,,3.0
1982-12-16,-34.0,,3.0
1982-12-17,-34.0,,3.0
1982-12-20,-34.0,,3.0
1982-12-21,-34.0,,3.0
1982-12-22,-34.0,,3.0
1982-12-23,-34.0,,3.0
1982-12-24,-34.0,,3.0
1982-12-27,-34.0,,3.0
1982-12-28,-34.0,,3.0
1982-12-29,-34.0,,3.0
1982-12-30,-34.0,,3.0
1982-12-31,-34.0,,3.0
1983-01-03,-34.0,,3.0
1983-01-04,-34.0,,3.0
1983-01-05,-34.0,,4.0
1983-01-06,-34.0,,4.0
1983-01-07,-34.0,,4.0
1983-01-10,-34.0,,4.0
1983-01-11,-34.0,,4.0
1983-01-12,-34.0,,4.0
1983-01-13,-34.0,,4.0
1983-01-14,-34.0,,5.0
1983-01-17,-34.0,,5.0
1983-01-18,-34.0,,5.0
1983-01-19,-34.0,,5.0
1983-01-20,-34.0,,5.0
1983-01-21,-34.0,,5.0
1983-01-24,-34.0,,5.0
1983-01-25,-34.0,,5.0
1983-01-26,-34.0,,5.0
1983-01-27,-34.0,,5.0
1983-01-28,-34.0,,5.0
1983-01-31,-34.0,,5.0
1983-02-01,-34.0,,5.0
1983-02-02,-34.0,,5.0
1983-02-03,-34.0,,5.0
1983-02-04,-34.0,,6.0
1983-02-07,-34.0,,6.0
1983-02-08,-34.0,,6.0
1983-02-09,-34.0,,6.0
1983-02-10,-34.0,,6.0
1983-02-11,-34.0,,6.0
1983-02-14,-34.0,,6.0
1983-02-15,-34.0,,6.0
1983-02-16,-34.0,,6.0
1983-02-17,-34.0,,6.0
1983-02-18,-34.0,,6.0
1983-02-21,-34.0,,6.0
1983-02-22,-34.0,,6.0
1983-02-23,-34.0,,6.0
1983-02-24,-34.0,,6.0
1983-02-25,-34.0,,6.0
1983-02-28,-34.0,,6.0
1983-03-01,-34.0,,6.0
1983-03-02,-34.0,,6.0
1983-03-03,-37.0,,6.0
1983-03-04,-40.0,,6.0
1983-03-07,-43.0,,6.0
1983-03-08,-44.0,,6.0
1983-03-09,-44.0,,6.0
1983-03-10,-44.0,,6.0
1983-03-11,-44.0,,6.0
1983-03-14,-44.0,,6.0
1983-03-15,-44.0,,6.0
1983-03-16,-44.0,,6.0
1983-03-17,-44.0,,6.0
1983-03-18,-44.0,,6.0
1983-03-21,-44.0,,6.0
1983-03-22,-44.0,,6.0
1983-03-23,-44.0,,6.0
1983-03-24,-44.0,,6.0
1983-03-25,-44.0,,6.0
1983-03-28,-44.0,,6.0
1983-03-29,-44.0,,7.0
1983-03-30,-44.0,,7.0
1983-03-31,-44.0,,7.0
1983-04-01,-44.0,,7.0
1983-04-04,-44.0,,7.0
1983-04-05,-44.0,,7.0
1983-04-06,-44.0,,7.0
1983-04-07,-44.0,,7.0
1983-04-08,-44.0,,7.0
1983-04-11,-44.0,,7.0
1983-04-12,-44.0,,7.0
1983-04-13,-44.0,,7.0
1983-04-14,-44.0,,7.0
1983-04-15,-44.0,,7.0
1983-04-18,-44.0,,7.0
1983-04-19,-44.0,,7.0
1983-04-20,-44.0,,7.0
1983-04-21,-44.0,,7.0
1983-04-22,-44.0,,7.0
1983-04-25,-44.0,,7.0
1983-04-26,-44.0,,7.0
1983-04-27,-44.0,,7.0
1983-04-28,-44.0,,7.0
1983-04-29,-44.0,,7.0
1983-05-02,-44.0,,7.0
1983-05-03,-44.0,,8.0
1983-05-04,-44.0,,8.0
1983-05-05,-44.0,,8.0
1983-05-06,-44.0,,8.0
1983-05-09,-44.0,,8.0
1983-05-10,-44.0,,8.0
1983-05-11,-44.0,,8.0
1983-05-12,-44.0,,8.0
1983-05-13,-44.0,,8.0
1983-05-16,-44.0,,8.0
1983-05-17,-44.0,,8.0
1983-05-18,-44.0,,8.0
1983-05-19,-44.0,,8.0
1983-05-20,-44.0,,8.0
1983-05-23,-44.0,,8.0
1983-05-24,-44.0,,8.0
1983-05-25,-44.0,,8.0
1983-05-26,-44.0,,8.0
1983-05-27,-44.0,,8.0
1983-05-30,-44.0,,8.0
1983-05-31,-44.0,,8.0
1983-06-01,-44.0,,8.0
1983-06-02,-45.0,,8.0
1983-06-03,-49.0,,8.0
1983-06-06,-53.0,,8.0
1983-06-07,-53.0,,8.0
1983-06-08,-53.0,,8.0
1983-06-09,-53.0,,8.0
1983-06-10,-53.0,,8.0
1983-06-13,-53.0,,7.0
1983-06-14,-53.0,,7.0
1983-06-15,-53.0,,7.0
1983-06-16,-53.0,,7.0
1983-06-17,-53.0,,7.0
1983-06-20,-55.0,,7.0
1983-06-21,-56.0,,7.0
1983-06-22,-57.0,,7.0
1983-06-23,-59.0,,7.0
1983-06-24,-61.0,,7.0
1983-06-27,-62.0,,7.0
1983-06-28,-63.0,,7.0
1983-06-29,-63.0,,7.0
1983-06-30,-64.0,,7.0
1983-07-01,-66.0,,7.0
1983-07-04,-66.0,,7.0
1983-07-05,-66.0,,6.0
1983-07-06,-66.0,,6.0
1983-07-07,-66.0,,6.0
1983-07-08,-67.0,,6.0
1983-07-11,-68.0,,6.0
1983-07-12,-68.0,,6.0
1983-07-13,-69.0,,6.0
1983-07-14,-71.0,,6.0
1983-07-15,-72.0,,6.0
1983-07-18,-74.0,,6.0
1983-07-19,-75.0,,6.0
1983-07-20,-75.0,,6.0
1983-07-21,-75.0,,6.0
1983-07-22,-75.0,,6.0
1983-07-25,-75.0,,6.0
1983-07-26,-75.0,,6.0
1983-07-27,-75.0,,6.0
1983-07-28,-75.0,,6.0
1983-07-29,-75.0,,6.0
1983-08-01,-75.0,,6.0
1983-08-02,-75.0,,7.0
1983-08-03,-75.0,,7.0
1983-08-04,-75.0,,7.0
1983-08-05,-75.0,,7.0
1983-08-08,-75.0,,7.0
1983-08-09,-75.0,,7.0
1983-08-10,-75.0,,7.0
1983-08-11,-77.0,,7.0
1983-08-12,-78.0,,7.0
1983-08-15,-79.0,,7.0
1983-08-16,-81.0,,7.0
1983-08-17,-81.0,,7.0
1983-08-18,-82.0,,7.0
1983-08-19,-82.0,,7.0
1983-08-22,-84.0,,7.0
1983-08-23,-86.0,,7.0
1983-08-24,-88.0,,7.0
1983-08-25,-90.0,,7.0
1983-08-26,-91.0,,7.0
1983-08-29,-92.0,,7.0
1983-08-30,-95.0,,7.0
1983-08-31,-95.0,,7.0
1983-09-01,-96.0,,7.0
1983-09-02,-101.0,,7.0
1983-09-05,-101.0,,7.0
1983-09-06,-101.0,,6.0
1983-09-07,-101.0,,6.0
1983-09-08,-106.0,,6.0
1983-09-09,-110.0,,6.0
1983-09-12,-112.0,,6.0
1983-09-13,-115.0,,6.0
1983-09-14,-118.0,,6.0
1983-09-15,-122.0,,6.0
1983-09-16,-122.0,,6.0
1983-09-19,-122.0,,6.0
