,sp500,us5,us10
1982-08-30,,,
1982-08-31,,,
1982-09-01,,,5.9936575321946
1982-09-02,,,6.420166973404792
1982-09-03,,,6.648881100959247
1982-09-06,,,6.648881100959247
1982-09-07,,,6.715712902085998
1982-09-08,,,6.910367657387201
1982-09-09,,,6.943916187362652
1982-09-10,,,6.620810506673033
1982-09-13,,,6.327684465680109
1982-09-14,,,6.140220645377781
1982-09-15,,,6.280756473986774
1982-09-16,,,6.241641928129064
1982-09-17,,,6.209002650617145
1982-09-20,,,6.323759010599479
1982-09-21,,,6.291586269458772
1982-09-22,,,6.423277358614145
1982-09-23,,,6.554827004351605
1982-09-24,,,6.6529821082680884
1982-09-27,,,6.672613564994108
1982-09-28,,,6.6931239499723185
1982-09-29,,,6.72776623192493
1982-09-30,,,6.858220971058155
1982-10-01,,,6.899092900205606
1982-10-04,,,6.914956512645907
1982-10-05,,,6.8753240589727245
1982-10-06,,,6.828816456357147
1982-10-07,,,6.756173475448882
1982-10-08,,,6.702856832163505
1982-10-11,,,6.676628932607457
1982-10-12,,,6.6613473240432945
1982-10-13,,,6.658393966968308
1982-10-14,,,6.7787527102714416
1982-10-15,,,6.883031925250811
1982-10-18,,,6.954373012281054
1982-10-19,,,7.029455321680755
1982-10-20,,,7.032555002644938
1982-10-21,,,7.024618031388644
1982-10-22,,,7.041733689437657
1982-10-25,,,7.015884193802661
1982-10-26,,,6.943521895271851
1982-10-27,,,6.889349328931201
1982-10-28,,,6.883369296393125
1982-10-29,,,6.87997807208261
1982-11-01,,,6.904299367009131
1982-11-02,,,6.904299367009131
1982-11-03,,,6.958907245261658
1982-11-04,,,7.017651792657271
1982-11-05,,,7.024684038897048
1982-11-08,,,6.9918079738410945
1982-11-09,,,6.998956159801077
1982-11-10,,,7.016819245457345
1982-11-11,,,7.009383626701081
1982-11-12,,,6.986456355417939
1982-11-15,,,6.974124295043168
1982-11-16,,,7.018687568007488
1982-11-17,,,7.100300829707167
1982-11-18,,,7.225378074222142
