,sp500,us5,us10
1982-08-30,,,
1982-08-31,,,
1982-09-01,,,-6.268687961958562e-06
1982-09-02,,,0.004453125
1982-09-03,,,0.003984375
1982-09-06,,,
1982-09-07,,,-0.00140625
1982-09-08,,,0.0009358403653823213
1982-09-09,,,-0.0015625
1982-09-10,,,-0.010625
1982-09-13,,,0.007810094709530257
1982-09-14,,,0.00046875
1982-09-15,,,-0.0009375
1982-09-16,-0.0,,-0.001171875
1982-09-17,-0.0,,0.00375
1982-09-20,0.0,,0.00140625
1982-09-21,0.0,,0.00984375
1982-09-22,-0.0,,0.0
1982-09-23,0.0,,0.0028125
1982-09-24,-0.0,,-0.003984375
1982-09-27,0.0,,0.00046875
1982-09-28,-0.0,,0.00421875
1982-09-29,-0.0,,-0.00046875
1982-09-30,-0.0,,0.002578125
1982-10-01,0.0,,0.00703125
1982-10-04,0.0,,-0.00984375
1982-10-05,-0.0,,0.001875
1982-10-06,0.0,,0.0065625
1982-10-07,0.0,,0.015
1982-10-08,0.0,,0.0032812500000000268
1982-10-11,0.0,,0.014996557989053392
1982-10-12,-0.0,,-0.00046875
1982-10-13,0.0,,0.001875
1982-10-14,-0.0,,-0.00484375
1982-10-15,0.0,,-0.0034375
1982-10-18,0.0,,0.0040625
1982-10-19,-0.0,,0.001875
1982-10-20,0.0,,-0.0021875
1982-10-21,-0.0,,0.00046875
1982-10-22,-0.0,,-0.0034375
1982-10-25,-0.0,,-0.006406250000000018
1982-10-26,0.0,,0.004687500000000018
1982-10-27,-0.0,,-0.00171875
1982-10-28,-0.0,,0.00421875
1982-10-29,0.0,,0.00359375
1982-11-01,0.0,,0.00296875
1982-11-02,0.0,,
1982-11-03,0.0,,0.00296875
1982-11-04,0.0,,0.00078125
1982-11-05,-0.0,,-0.00234375
1982-11-08,-0.0,,-0.00140625
1982-11-09,0.0,,0.0009375
1982-11-10,-0.0,,0.0003125
1982-11-11,0.0,,-0.003125
1982-11-12,-0.0,,0.00171875
1982-11-15,-0.0,,-0.001875
