,sp500,gas
1982-09-14,,
1982-09-15,,
1982-09-16,,
1982-09-17,,
1982-09-20,,
1982-09-21,,
1982-09-22,,
1982-09-23,,
1982-09-24,,
1982-09-27,,
1982-09-28,,
1982-09-29,,
1982-09-30,,
1982-10-01,,
1982-10-04,,
1982-10-05,,
1982-10-06,,
1982-10-07,,
1982-10-08,,
1982-10-11,,
1982-10-12,,
1982-10-13,,
1982-10-14,,
1982-10-15,,
1982-10-18,,
1982-10-19,,
1982-10-20,,
1982-10-21,,
1982-10-22,,
1982-10-25,,
1982-10-26,,
1982-10-27,,
1982-10-28,,
1982-10-29,,
1982-11-01,,
1982-11-02,,
1982-11-03,,
1982-11-04,,
1982-11-05,,
1982-11-08,,
1982-11-09,,
1982-11-10,,
1982-11-11,,
1982-11-12,,
1982-11-15,,
1982-11-16,,
1982-11-17,,
1982-11-18,,
1982-11-19,,
1982-11-22,,
1982-11-23,,
1982-11-24,,
1982-11-25,,
1982-11-26,,
1982-11-29,,
1982-11-30,,
1982-12-01,-2.3879649562768512,
1982-12-02,-2.721170894480293,
1982-12-03,-2.6892665523058614,
1982-12-06,-2.831450515159104,
1982-12-07,-2.761895575109854,
1982-12-08,-2.663776236639514,
1982-12-09,-2.523182173158292,
1982-12-10,-2.2780943362006756,
1982-12-13,-2.2972205754998583,
1982-12-14,-2.3022954768794675,
1982-12-15,-2.313666468669457,
1982-12-16,-2.3293189450133465,
1982-12-17,-2.3354381560433675,
1982-12-20,-2.3465458809894675,
1982-12-21,-2.339684987140907,
1982-12-22,-2.3395243700192543,
1982-12-23,-2.342713445816904,
1982-12-24,-2.342713445816904,
1982-12-27,-2.3327222755473116,
1982-12-28,-2.327368163177847,
1982-12-29,-2.3262664099557777,
1982-12-30,-2.329544041342689,
1982-12-31,-2.3357710088111117,
1983-01-03,-2.343194268662525,
1983-01-04,-2.339888075935104,
1983-01-05,-2.3407739621953167,
1983-01-06,-2.33097354473489,
1983-01-07,-2.3263260729964097,
1983-01-10,-2.3231819827601004,
1983-01-11,-2.3242957084876665,
1983-01-12,-2.32906297837568,
1983-01-13,-2.336973207588303,
1983-01-14,-2.3477950939198733,
1983-01-17,-2.360888189201631,
1983-01-18,-2.376423912454472,
1983-01-19,-2.3918554713884497,
1983-01-20,-2.4064702539917717,
1983-01-21,-2.415129737533511,
1983-01-24,-2.425741781665575,
1983-01-25,-2.438194616738013,
1983-01-26,-2.4534846017360556,
1983-01-27,-2.4510867008607966,
1983-01-28,-2.453275896364191,
1983-01-31,-2.4547612093208055,
1983-02-01,-2.4528973785630406,
1983-02-02,-2.453773601824389,
1983-02-03,-2.4569636743820498,
1983-02-04,-2.4514556592860246,
1983-02-07,-2.4502039235299353,
1983-02-08,-2.4508940483381196,
1983-02-09,-2.4552824421684556,
1983-02-10,-2.449086881295719,
1983-02-11,-2.447140847402456,
1983-02-14,-2.444397670008885,
1983-02-15,-2.444893634685577,
1983-02-16,-2.4489760715151117,
1983-02-17,-2.4550252350468194,
1983-02-18,-2.4638146952984314,
1983-02-21,-2.4638146952984314,
1983-02-22,-2.4717199730763966,
1983-02-23,-2.4750392743534833,
1983-02-24,-2.471707396894958,
1983-02-25,-2.472801918657531,
1983-02-28,-2.4765764935915877,
1983-03-01,-2.4727693616380297,
1983-03-02,-2.6204851070325432,
1983-03-03,-2.7423656774455503,
1983-03-04,-2.8547239092353442,
1983-03-07,-2.936648892001661,
1983-03-08,-2.9863296738975214,
1983-03-09,-2.9843076559384425,
1983-03-10,-2.9167381039181275,
1983-03-11,-2.8502191544427586,
1983-03-14,-2.795154251924059,
1983-03-15,-2.7505486807912916,
1983-03-16,-2.7094491598811907,
1983-03-17,-2.6765746165499773,
1983-03-18,-2.6490709970019073,
1983-03-21,-2.6231099728983978,
1983-03-22,-2.6029522886281073,
1983-03-23,-2.5753261392153433,
1983-03-24,-2.5535694147802563,
1983-03-25,-2.5358634544092684,
1983-03-28,-2.52285691752239,
1983-03-29,-2.514010289738761,
1983-03-30,-2.502849015463776,
1983-03-31,-2.4917147457939604,
1983-04-01,-2.4917147457939604,
1983-04-04,-2.4811907281671526,
1983-04-05,-2.4743423793310386,
1983-04-06,-2.4714042144628006,
1983-04-07,-2.470887580907197,
1983-04-08,-2.4730950895497523,
1983-04-11,-2.464716151243398,
1983-04-12,-2.4595964476465095,
1983-04-13,-2.4568795217530335,
1983-04-14,-2.452409486775041,
1983-04-15,-2.4510718349029212,
1983-04-18,-2.4515575350354966,
1983-04-19,-2.4536203209515253,
1983-04-20,-2.452245536046728,
