instrument,multiplier
6A,100000
6B,62500
6C,100000
6E,125000
6J,125000
6M,500000
6N,100000
6S,125000
AFB,20
AWM,20
BAX,2500
BRN,1000
BTC,5
CC,10
CGB,1000
CL,1000
CT,500
DC,2000
DX,1000
EMD,100
ES,5
ETH,50
EUA,1000
FBTP,1000
FCE,10
FDAX,25
FESX,10
FGBL,1000
FGBM,1000
FGBS,1000
FGBX,1000
FOAT,1000
FSMI,10
FTDX,10
GAS,100
gas,10000
GC,100
GD,250
GF,500
GWM,1000
HE,400
HG,250
HO,42000
HSI,50
HTW,100
KC,375
KE,50
KOS,250000
LBS,110
LCC,10
LE,400
LEU,2500
LFT,10
LLG,1000
LRC,10
LSU,50
LWB,100
M2K,5
MBT,0.1
MES,5
MET,0.1
MHI,10
MNQ,2
MWE,50
MYM,0.5
NG,10000
NIY,500
NKD,5
NQ,2
OJ,150
PA,100
PL,50
RB,42000
RS,20
RTY,5
SB,1120
SCN,1
SI,50
SJB,100000
SNK,500
sp500,5
SR3,2500
SSG,100
SXF,200
TN,1000
UB,1000
us5, 1000
us10, 1000
VX,1000
WBS,1000
YAP,25
YG,32.15
YI,1000
YIB,8932
YIR,2400
YM,0.5
YXT,8000
YYT,2800
ZB,1000
ZC,50
ZF,1000
ZL,600
ZM,100
ZN,1000
ZO,50
ZQ,4167
ZR,20
ZS,50
ZT,2000
ZW,50
