,Unnamed: 0,sp500_x,gas_x,sp500_y,gas_y
1982-09-14 00:00:00,,,,,
1982-09-15 00:00:00,,,,,
1982-09-16 00:00:00,,,,,
1982-09-17 00:00:00,,,,,
1982-09-20 00:00:00,,,,,
1982-09-21 00:00:00,,,,,
1982-09-22 00:00:00,,,,,
1982-09-23 00:00:00,,,,,
1982-09-24 00:00:00,,,,,
1982-09-27 00:00:00,,,,,
1982-09-28 00:00:00,,,,,
1982-09-29 00:00:00,,,,,
1982-09-30 00:00:00,,,,,
1982-10-01 00:00:00,,,,,
1982-10-04 00:00:00,,,,,
1982-10-05 00:00:00,,,,,
1982-10-06 00:00:00,,,,,
1982-10-07 00:00:00,,,,,
1982-10-08 00:00:00,,,,,
1982-10-11 00:00:00,,,,,
1982-10-12 00:00:00,,,,,
1982-10-13 00:00:00,,,,,
1982-10-14 00:00:00,,,,,
1982-10-15 00:00:00,,,,,
1982-10-18 00:00:00,,,,,
1982-10-19 00:00:00,,,,,
1982-10-20 00:00:00,,,,,
1982-10-21 00:00:00,,,,,
1982-10-22 00:00:00,,,,,
1982-10-25 00:00:00,,,,,
1982-10-26 00:00:00,,,,,
1982-10-27 00:00:00,,,,,
1982-10-28 00:00:00,,,,,
1982-10-29 00:00:00,,,,,
1982-11-01 00:00:00,,,,,
1982-11-02 00:00:00,,,,,
1982-11-03 00:00:00,,,,,
1982-11-04 00:00:00,,,,,
1982-11-05 00:00:00,,,,,
1982-11-08 00:00:00,,,,,
1982-11-09 00:00:00,,,,,
1982-11-10 00:00:00,,,,,
1982-11-11 00:00:00,,,,,
1982-11-12 00:00:00,,,,,
1982-11-15 00:00:00,,,,,
1982-11-16 00:00:00,,,,,
1982-11-17 00:00:00,,,,,
1982-11-18 00:00:00,,,,,
1982-11-19 00:00:00,,,,,
1982-11-22 00:00:00,,,,,
1982-11-23 00:00:00,,,,,
1982-11-24 00:00:00,,,,,
1982-11-25 00:00:00,,,,,
1982-11-26 00:00:00,,,,,
1982-11-29 00:00:00,,,,,
1982-11-30 00:00:00,,,,,
1982-12-01 00:00:00,,,,-2.3879649562768512,
1982-12-02 00:00:00,,,,-2.721170894480293,
1982-12-03 00:00:00,,,,-2.6892665523058614,
1982-12-06 00:00:00,,,,-2.831450515159104,
1982-12-07 00:00:00,,,,-2.761895575109854,
1982-12-08 00:00:00,,,,-2.663776236639514,
1982-12-09 00:00:00,,,,-2.523182173158292,
1982-12-10 00:00:00,,,,-2.2780943362006756,
1982-12-13 00:00:00,,,,-2.2972205754998583,
1982-12-14 00:00:00,,,,-2.3022954768794675,
1982-12-15 00:00:00,,,,-2.313666468669457,
1982-12-16 00:00:00,,,,-2.3293189450133465,
1982-12-17 00:00:00,,,,-2.335438156043368,
1982-12-20 00:00:00,,,,-2.346545880989468,
1982-12-21 00:00:00,,,,-2.339684987140907,
1982-12-22 00:00:00,,,,-2.3395243700192543,
1982-12-23 00:00:00,,,,-2.342713445816904,
1982-12-24 00:00:00,,,,-2.342713445816904,
1982-12-27 00:00:00,,,,-2.3327222755473116,
1982-12-28 00:00:00,,,,-2.327368163177847,
1982-12-29 00:00:00,,,,-2.3262664099557786,
1982-12-30 00:00:00,,,,-2.3295440413426904,
1982-12-31 00:00:00,,,,-2.3357710088111125,
1983-01-03 00:00:00,,,,-2.343194268662526,
1983-01-04 00:00:00,,,,-2.339888075935105,
1983-01-05 00:00:00,,,,-2.3407739621953176,
1983-01-06 00:00:00,,,,-2.3309735447348907,
1983-01-07 00:00:00,,,,-2.3263260729964115,
1983-01-10 00:00:00,,,,-2.323181982760101,
1983-01-11 00:00:00,,,,-2.3242957084876674,
1983-01-12 00:00:00,,,,-2.329062978375681,
1983-01-13 00:00:00,,,,-2.336973207588304,
1983-01-14 00:00:00,,,,-2.3477950939198737,
1983-01-17 00:00:00,,,,-2.360888189201632,
1983-01-18 00:00:00,,,,-2.376423912454473,
1983-01-19 00:00:00,,,,-2.3918554713884506,
1983-01-20 00:00:00,,,,-2.4064702539917726,
1983-01-21 00:00:00,,,,-2.4151297375335123,
1983-01-24 00:00:00,,,,-2.425741781665576,
1983-01-25 00:00:00,,,,-2.4381946167380137,
1983-01-26 00:00:00,,,,-2.4534846017360565,
1983-01-27 00:00:00,,,,-2.4510867008607975,
1983-01-28 00:00:00,,,,-2.453275896364192,
1983-01-31 00:00:00,,,,-2.454761209320807,
1983-02-01 00:00:00,,,,-2.4528973785630415,
1983-02-02 00:00:00,,,,-2.45377360182439,
1983-02-03 00:00:00,,,,-2.4569636743820507,
1983-02-04 00:00:00,,,,-2.451455659286025,
1983-02-07 00:00:00,,,,-2.4502039235299358,
1983-02-08 00:00:00,,,,-2.45089404833812,
1983-02-09 00:00:00,,,,-2.455282442168456,
1983-02-10 00:00:00,,,,-2.4490868812957194,
1983-02-11 00:00:00,,,,-2.4471408474024563,
1983-02-14 00:00:00,,,,-2.4443976700088856,
1983-02-15 00:00:00,,,,-2.4448936346855774,
1983-02-16 00:00:00,,,,-2.448976071515111,
1983-02-17 00:00:00,,,,-2.4550252350468194,
1983-02-18 00:00:00,,,,-2.4638146952984314,
1983-02-21 00:00:00,,,,-2.4638146952984314,
1983-02-22 00:00:00,,,,-2.4717199730763966,
1983-02-23 00:00:00,,,,-2.4750392743534833,
1983-02-24 00:00:00,,,,-2.471707396894958,
1983-02-25 00:00:00,,,,-2.4728019186575305,
1983-02-28 00:00:00,,,,-2.4765764935915877,
1983-03-01 00:00:00,,,,-2.4727693616380297,
1983-03-02 00:00:00,,,,-2.6204851070325432,
1983-03-03 00:00:00,,,,-2.74236567744555,
1983-03-04 00:00:00,,,,-2.854723909235344,
1983-03-07 00:00:00,,,,-2.9366488920016605,
1983-03-08 00:00:00,,,,-2.986329673897522,
1983-03-09 00:00:00,,,,-2.9843076559384434,
1983-03-10 00:00:00,,,,-2.9167381039181293,
1983-03-11 00:00:00,,,,-2.850219154442761,
1983-03-14 00:00:00,,,,-2.795154251924062,
1983-03-15 00:00:00,,,,-2.7505486807912956,
1983-03-16 00:00:00,,,,-2.7094491598811956,
